user_id,target_domain,target_role,owned_skills,user_experience,user_education
U-0001,Cloud & DevOps,DevOps Engineer,"[""Docker"", ""Ansible"", ""Linux"", ""Prometheus""]",> 3 Tahun,S2/S3
U-0002,Cloud & DevOps,DevOps Engineer,"[""Prometheus"", ""GitLab CI""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0003,Data Science & AI,Data Scientist,"[""R"", ""Python"", ""Matplotlib"", ""Jupyter""]",< 1 Tahun,S1/D4
U-0004,Web Development,Backend Engineer,"[""Python"", ""NodeJS"", ""Express"", ""MySQL""]",1 - 3 Tahun,S1/D4
U-0005,Mobile Development,Flutter Engineer,"[""Hive"", ""Provider"", ""Firebase"", ""BLoC""]",> 3 Tahun,S2/S3
U-0006,Mobile Development,iOS Developer,"[""Git"", ""Firebase"", ""Swift""]",< 1 Tahun,S1/D4
U-0007,Cyber Security,Security Analyst,"[""SIEM"", ""Threat Intelligence"", ""Incident Response""]",> 3 Tahun,S2/S3
U-0008,Mobile Development,Flutter Engineer,"[""Hive"", ""Firebase"", ""BLoC"", ""GetX""]",Belum ada pengalaman,S1/D4
U-0009,Web Development,Backend Engineer,"[""PHP"", ""Laravel"", ""Git"", ""Express""]",< 1 Tahun,D3
U-0010,Mobile Development,iOS Developer,"[""Objective-C"", ""Git"", ""Xcode""]",Belum ada pengalaman,D3
U-0011,Quality Assurance (QA) & Testing,Manual QA,"[""Regression Testing"", ""SQL""]",> 3 Tahun,S1/D4
U-0012,Cloud & DevOps,Cloud Engineer,"[""Python"", ""AWS"", ""GCP""]",> 3 Tahun,S1/D4
U-0013,Data Science & AI,AI Engineer,"[""Python"", ""HuggingFace""]",1 - 3 Tahun,D3
U-0014,Data Science & AI,AI Engineer,"[""LangChain""]",Belum ada pengalaman,S1/D4
U-0015,UI/UX Design,UI Designer,"[""Color Theory"", ""Wireframing"", ""Figma"", ""Design System"", ""Prototyping""]",Belum ada pengalaman,D3
U-0016,Mobile Development,Flutter Engineer,"[""Flutter"", ""Provider"", ""GetX"", ""Hive"", ""Git""]",> 3 Tahun,S2/S3
U-0017,Quality Assurance (QA) & Testing,SDET,"[""Selenium"", ""API Testing"", ""Performance Testing"", ""Java""]",1 - 3 Tahun,D3
U-0018,Data Science & AI,Machine Learning Engineer,"[""Kubernetes"", ""MLflow"", ""Python"", ""PyTorch""]",1 - 3 Tahun,D3
U-0019,Cyber Security,Penetration Tester,"[""Nmap"", ""OWASP"", ""Networking""]",Belum ada pengalaman,S1/D4
U-0020,Cyber Security,DevSecOps,"[""SAST"", ""DAST"", ""Docker"", ""CI/CD"", ""Python"", ""Terraform""]",Belum ada pengalaman,D3
U-0021,UI/UX Design,UX Researcher,"[""Usability Testing""]",1 - 3 Tahun,S1/D4
U-0022,Data Science & AI,Data Analyst,"[""SQL"", ""Pandas""]",< 1 Tahun,S1/D4
U-0023,Cloud & DevOps,DevOps Engineer,"[""Docker"", ""Python"", ""GitLab CI"", ""Linux"", ""Jenkins""]",< 1 Tahun,D3
U-0024,Data Science & AI,Data Analyst,"[""Data Visualization"", ""Git"", ""Statistics"", ""Tableau"", ""Power BI""]",> 3 Tahun,S2/S3
U-0025,Mobile Development,Flutter Engineer,"[""Dart"", ""Git"", ""Flutter""]",> 3 Tahun,S2/S3
U-0026,UI/UX Design,Product Designer,"[""Wireframing"", ""Design System"", ""Figma"", ""User Research"", ""Miro"", ""Prototyping""]",1 - 3 Tahun,S2/S3
U-0027,Cloud & DevOps,DevOps Engineer,"[""Prometheus"", ""Terraform"", ""Kubernetes"", ""Git"", ""GitLab CI"", ""Python""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0028,Quality Assurance (QA) & Testing,Manual QA,"[""Regression Testing"", ""Test Case Writing""]",1 - 3 Tahun,S2/S3
U-0029,Cloud & DevOps,DevOps Engineer,"[""Git"", ""Terraform"", ""Jenkins"", ""GitLab CI"", ""Linux"", ""Ansible""]",1 - 3 Tahun,S2/S3
U-0030,Data Science & AI,Data Analyst,"[""Excel"", ""Python"", ""NumPy"", ""Git""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0031,Data Science & AI,Data Analyst,"[""SQL"", ""Statistics"", ""Git""]",> 3 Tahun,S1/D4
U-0032,Mobile Development,Android Developer,"[""REST API"", ""Room DB"", ""Firebase"", ""Android SDK""]",> 3 Tahun,S1/D4
U-0033,Cyber Security,Penetration Tester,"[""Networking"", ""OWASP""]",< 1 Tahun,D3
U-0034,UI/UX Design,UX Researcher,"[""Survey Design""]",Belum ada pengalaman,D3
U-0035,Data Science & AI,Data Scientist,"[""Git"", ""Jupyter"", ""Python"", ""Matplotlib""]",> 3 Tahun,S2/S3
U-0036,Quality Assurance (QA) & Testing,Automation QA,"[""CI/CD"", ""Git"", ""Selenium"", ""Playwright"", ""TestNG"", ""Python""]",> 3 Tahun,S2/S3
U-0037,Cloud & DevOps,DevOps Engineer,"[""Terraform"", ""Kubernetes"", ""Python"", ""GitLab CI"", ""Linux"", ""Jenkins""]",1 - 3 Tahun,D3
U-0038,Cloud & DevOps,SRE,"[""Incident Management""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0039,UI/UX Design,UI Designer,"[""Color Theory"", ""Adobe XD"", ""Prototyping"", ""Design System""]",Belum ada pengalaman,S1/D4
U-0040,Cyber Security,DevSecOps,"[""Python""]",1 - 3 Tahun,S1/D4
U-0041,Cloud & DevOps,SRE,"[""Terraform"", ""Prometheus"", ""Git"", ""CI/CD"", ""Python"", ""Docker""]",1 - 3 Tahun,S2/S3
U-0042,Cloud & DevOps,DevOps Engineer,"[""GitLab CI"", ""Prometheus"", ""Docker"", ""Linux""]",< 1 Tahun,D3
U-0043,UI/UX Design,UX Researcher,"[""User Interview"", ""Usability Testing"", ""Data Analysis"", ""Miro""]",> 3 Tahun,S1/D4
U-0044,Data Science & AI,Data Analyst,"[""Git"", ""Python"", ""Pandas"", ""Data Visualization"", ""Statistics"", ""Power BI""]",Belum ada pengalaman,D3
U-0045,Cloud & DevOps,SRE,"[""Incident Management"", ""Terraform"", ""Docker"", ""Python"", ""CI/CD""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0046,Web Development,Backend Engineer,"[""Git"", ""REST API"", ""NodeJS"", ""Express""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0047,Cloud & DevOps,Cloud Engineer,"[""Python"", ""Azure""]",< 1 Tahun,S1/D4
U-0048,Cloud & DevOps,SRE,"[""Grafana"", ""Python""]",> 3 Tahun,S2/S3
U-0049,Cloud & DevOps,DevOps Engineer,"[""GitLab CI""]",1 - 3 Tahun,D3
U-0050,Cyber Security,Security Analyst,"[""Incident Response"", ""Linux"", ""Threat Intelligence""]",< 1 Tahun,D3
U-0051,Mobile Development,iOS Developer,"[""Git"", ""Swift"", ""REST API"", ""SwiftUI"", ""Firebase"", ""Objective-C""]",Belum ada pengalaman,D3
U-0052,Quality Assurance (QA) & Testing,SDET,"[""Java"", ""Performance Testing""]",1 - 3 Tahun,S1/D4
U-0053,UI/UX Design,UI Designer,"[""Sketch"", ""Typography"", ""Color Theory"", ""Figma"", ""Prototyping"", ""Adobe XD""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0054,Cloud & DevOps,SRE,"[""Grafana"", ""Incident Management"", ""Python"", ""Linux"", ""Prometheus"", ""Terraform""]",Belum ada pengalaman,S1/D4
U-0055,Mobile Development,Flutter Engineer,"[""REST API"", ""Dart"", ""Flutter"", ""Firebase"", ""Provider""]",1 - 3 Tahun,S1/D4
U-0056,Web Development,Fullstack Engineer,"[""CSS"", ""JavaScript"", ""ReactJS"", ""MySQL"", ""PostgreSQL"", ""HTML""]",< 1 Tahun,S1/D4
U-0057,Cloud & DevOps,DevOps Engineer,"[""Ansible""]",> 3 Tahun,S1/D4
U-0058,UI/UX Design,UI Designer,"[""Typography"", ""Color Theory"", ""Design System"", ""Wireframing"", ""Illustrator""]",Belum ada pengalaman,D3
U-0059,Data Science & AI,Machine Learning Engineer,"[""MLflow"", ""Docker"", ""SQL"", ""Kubernetes"", ""PyTorch"", ""Git""]",> 3 Tahun,S2/S3
U-0060,Cloud & DevOps,DevOps Engineer,"[""GitLab CI""]",> 3 Tahun,S2/S3
U-0061,Mobile Development,Android Developer,"[""Git""]",< 1 Tahun,D3
U-0062,Cloud & DevOps,DevOps Engineer,"[""GitLab CI"", ""Python"", ""Git"", ""Linux""]",Belum ada pengalaman,S1/D4
U-0063,Cloud & DevOps,DevOps Engineer,"[""Python"", ""Jenkins"", ""Prometheus""]",> 3 Tahun,S1/D4
U-0064,Web Development,Fullstack Engineer,"[""Git"", ""ReactJS"", ""HTML"", ""JavaScript""]",Belum ada pengalaman,S1/D4
U-0065,Cloud & DevOps,DevOps Engineer,"[""Terraform"", ""Jenkins"", ""GitLab CI"", ""Kubernetes"", ""Linux"", ""Prometheus""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0066,Quality Assurance (QA) & Testing,SDET,"[""Java"", ""Git"", ""Performance Testing""]",1 - 3 Tahun,S2/S3
